#    f [Hz]                    Zx [Ohm]
# ------------------------------------------------
 (2.377672156182772815e+08+0.000000000000000000e+00j)  (3.135971250192689297e+01+1.679878698673632300e+02j)
 (2.387704528149788976e+08+0.000000000000000000e+00j)  (3.389767343694499857e+01+1.634701057451086967e+02j)
 (2.397736900116804838e+08+0.000000000000000000e+00j)  (3.528368949965315693e+01+1.585280433082390630e+02j)
 (2.407769272083820701e+08+0.000000000000000000e+00j)  (3.544919184312384175e+01+1.534101479902793699e+02j)
 (2.417801644050836563e+08+0.000000000000000000e+00j)  (3.437871782133713339e+01+1.483747648812171178e+02j)
 (2.427834016017852426e+08+0.000000000000000000e+00j)  (3.211102504112007239e+01+1.436788592904531185e+02j)
 (2.437866387984868586e+08+0.000000000000000000e+00j)  (2.873783728503408597e+01+1.395667255576581738e+02j)
 (2.447898759951884449e+08+0.000000000000000000e+00j)  (2.440025782204309124e+01+1.362591582459424160e+02j)
 (2.457931131918900311e+08+0.000000000000000000e+00j)  (1.928298791064306528e+01+1.339435636708542461e+02j)
 (2.467963503885916173e+08+0.000000000000000000e+00j)  (1.360658540198493327e+01+1.327654525349165056e+02j)
 (2.477995875852932036e+08+0.000000000000000000e+00j)  (7.618085991831211601e+00+1.328216977021858725e+02j)
 (2.488028247819947898e+08+0.000000000000000000e+00j)  (1.580383951055945868e+00+1.341558671753217880e+02j)
